loss,val_loss
32359415808.0,5272446976.0
4748166656.0,4333359616.0
4188749312.0,3971824640.0
3920739840.0,3860553472.0
3770462976.0,3681091840.0
3659583744.0,3555559424.0
3587019008.0,3543661824.0
3529926912.0,3453256192.0
3476550656.0,3443145472.0
3435056128.0,3371463424.0
3394488832.0,3362944256.0
3358276352.0,3386635264.0
3329255424.0,3254779392.0
3297826816.0,3290457600.0
3272968704.0,3275446016.0
3247728128.0,3210513408.0
3229342976.0,3171447296.0
3202102272.0,3168738560.0
3183176960.0,3175981312.0
3172265472.0,3131732736.0
