loss,val_loss
138249732096.0,12998736896.0
10248005632.0,8522938880.0
8097020928.0,7636558848.0
7363971072.0,7016553984.0
6623543296.0,6170869760.0
5787265536.0,5431121408.0
5219165696.0,5015312384.0
4904290304.0,4779824640.0
4716325376.0,4621816832.0
4584790528.0,4500273664.0
4474448896.0,4401958400.0
4388420096.0,4322988544.0
4316855808.0,4262747904.0
4258080000.0,4212969984.0
4210554112.0,4160952320.0
4167273728.0,4120156672.0
4131728896.0,4087652096.0
4094597888.0,4053475584.0
4062388480.0,4019560448.0
4031082240.0,3987915776.0
4000743168.0,3982453248.0
3972854528.0,3936623616.0
3946611712.0,3910694144.0
3919747328.0,3892269824.0
3897316352.0,3889391360.0
3877624064.0,3840004864.0
3857798144.0,3827792128.0
3839736064.0,3804502784.0
3822439936.0,3786986752.0
3802927616.0,3767440128.0
3784396544.0,3745943296.0
3766460672.0,3735888384.0
3747746304.0,3713734144.0
3730272000.0,3706585856.0
3715952896.0,3678157056.0
3702345984.0,3673175296.0
3689390592.0,3656478720.0
3676776448.0,3650793728.0
3666663936.0,3644011264.0
3655541248.0,3638677504.0
