loss,val_loss
145790271488.0,13464850432.0
10451048448.0,8581338112.0
8140566528.0,7688068096.0
7476410880.0,7206934016.0
6924369920.0,6607537664.0
6289952768.0,5969894400.0
5677534720.0,5398025728.0
5185729536.0,4985790464.0
4869216768.0,4745115136.0
4671072256.0,4568575488.0
4528500224.0,4441329664.0
4417012736.0,4333808640.0
4319820800.0,4244462080.0
4239293440.0,4162693888.0
4168879872.0,4113325312.0
4110640640.0,4062035456.0
4065553920.0,4015316736.0
4027899136.0,3985064448.0
3996993280.0,3954968320.0
3969254912.0,3923517184.0
