loss,val_loss
37575438336.0,5428692992.0
4910396416.0,4508643840.0
4298716160.0,4075486720.0
4026502400.0,3870081792.0
3856128768.0,3791733248.0
3734986240.0,3651678720.0
3641484288.0,3551960832.0
3573339904.0,3485808128.0
3513350912.0,3518381056.0
3470905344.0,3433789440.0
3436335360.0,3374135040.0
3401880064.0,3331342848.0
3369125888.0,3398688000.0
3348300288.0,3301592576.0
3324834048.0,3298652672.0
3304262400.0,3244829952.0
3287730176.0,3249736960.0
3272045056.0,3252269056.0
3255285760.0,3273110528.0
3242731776.0,3266537216.0
3232224000.0,3223026688.0
3216021504.0,3208385792.0
3204694272.0,3174715904.0
3196670976.0,3164686848.0
3181406720.0,3159129088.0
3172838912.0,3149195264.0
3162345472.0,3139342336.0
3155277056.0,3147006208.0
3144464128.0,3111519488.0
3137533696.0,3095261696.0
3129901312.0,3097603328.0
3125214208.0,3094377216.0
3112544768.0,3112132864.0
3108134400.0,3082164480.0
3099427584.0,3089722624.0
3095863296.0,3142881024.0
3086606592.0,3088321536.0
3082977024.0,3053317376.0
3074626304.0,3044163584.0
3074288128.0,3093884160.0
3068855552.0,3130373376.0
3062511616.0,3061053952.0
3056943360.0,3046519296.0
3054092800.0,3093011456.0
3048904704.0,3029309696.0
3044220160.0,3030537728.0
3037440000.0,3011960064.0
3033195520.0,3024656128.0
3026739456.0,2998975232.0
3023956736.0,3043219200.0
