loss,val_loss
19710050304.0,4347332096.0
4163799040.0,4027440896.0
3836095488.0,3667956736.0
3666187776.0,3542512128.0
3560067584.0,3470513920.0
3485147904.0,3540615680.0
3437251328.0,3365857024.0
3387223296.0,3329463040.0
3345182976.0,3360813312.0
3293121280.0,3184948224.0
3247956480.0,3485686784.0
3209012992.0,3219030272.0
3176460032.0,3108801792.0
3157447680.0,3071999232.0
3125056512.0,3588847360.0
3102930944.0,3290507776.0
3078315520.0,3224637696.0
3061898752.0,3103322112.0
3047089152.0,2974452480.0
3030140160.0,3016424704.0
3008188416.0,2959899136.0
2994767872.0,3038446080.0
2978855936.0,2943884544.0
2972239104.0,3003723264.0
2948897024.0,2980535040.0
2938626304.0,2978860032.0
2927615744.0,2912993792.0
2924864768.0,2881589248.0
2908616448.0,2876849152.0
2899348224.0,3021647104.0
2886919168.0,2912588288.0
2891176448.0,2885040896.0
2876994816.0,2876454400.0
2863537408.0,2973574400.0
2859920384.0,2884726784.0
2846093824.0,2936140544.0
2844810496.0,3237942784.0
2832178432.0,2978706432.0
2832163584.0,2823523072.0
2815629056.0,2910152704.0
2818394368.0,2944762112.0
2803002112.0,2774337280.0
2799553024.0,2815823360.0
2793468928.0,3152072448.0
2788083712.0,2970671360.0
2774146304.0,2999611904.0
2773263104.0,2821194496.0
2766531072.0,2754436096.0
2764207360.0,2773979648.0
2762343936.0,2804028160.0
