loss,val_loss
366168866816.0,254020829184.0
122297589760.0,34012743680.0
20870903808.0,15438375936.0
13575187456.0,11635214336.0
10789707776.0,9797056512.0
9457941504.0,8912737280.0
8763807744.0,8424357888.0
8353856000.0,8134538240.0
8078511104.0,7910111744.0
7866519040.0,7726941184.0
7681911296.0,7568901120.0
7525671424.0,7429969408.0
7385395712.0,7300240384.0
7260190720.0,7190134272.0
7145030144.0,7083097088.0
7034271744.0,6970601472.0
6916527104.0,6855822848.0
6777703424.0,6695318016.0
6609065472.0,6518584320.0
6421063680.0,6320297472.0
6220706304.0,6116419072.0
6015644672.0,5906973184.0
5806367744.0,5691711488.0
5595201024.0,5483653632.0
5397060608.0,5294066176.0
5220814336.0,5132449280.0
5076274176.0,5002777600.0
4962636800.0,4898829824.0
4872206336.0,4817028608.0
4800165888.0,4747674112.0
4739102720.0,4691567616.0
4686825984.0,4638335488.0
4641342976.0,4596610560.0
4600825344.0,4561935360.0
4565732352.0,4522053632.0
4534145536.0,4492389888.0
4506281472.0,4466845184.0
4481098752.0,4445966336.0
4459172864.0,4420492288.0
4438845952.0,4398275584.0
