loss,val_loss
345156681728.0,192219545600.0
72960131072.0,20085227520.0
16202836992.0,13081742336.0
11623283712.0,10166097920.0
9633883136.0,8956288000.0
8752017408.0,8375903232.0
8278511104.0,8031674368.0
7964941312.0,7785212928.0
7728507392.0,7583999488.0
7528525312.0,7415099904.0
7354783744.0,7255757824.0
7197132800.0,7105785856.0
7041336832.0,6951534592.0
6863490048.0,6758940672.0
6652131328.0,6535296000.0
6419099136.0,6296072192.0
6173708288.0,6044204032.0
5924419072.0,5802456064.0
5688423936.0,5573938688.0
5476905472.0,5373941760.0
5295741440.0,5204994560.0
5143793664.0,5069294592.0
5015692800.0,4944868352.0
4910806016.0,4847385600.0
4826079232.0,4771828736.0
4756061696.0,4706132992.0
4696483840.0,4649871360.0
4644411392.0,4600026112.0
4597234176.0,4550789632.0
4553274880.0,4509067776.0
4514832896.0,4471771648.0
4478704640.0,4436135936.0
4447626240.0,4405330944.0
4418614272.0,4377638400.0
4391753216.0,4352998400.0
4366113280.0,4326713344.0
4343043584.0,4303298048.0
4321246720.0,4284259840.0
4300551680.0,4261922304.0
4280604160.0,4245527040.0
4261616640.0,4226397184.0
4243111680.0,4208001024.0
4225056512.0,4188115712.0
4208014848.0,4172106496.0
4191303936.0,4161846528.0
4175189248.0,4144802560.0
4159308032.0,4126554880.0
4144359424.0,4111056896.0
4129928448.0,4094985984.0
4114945792.0,4081679872.0
