loss,val_loss
54173417472.0,7047317504.0
5925760000.0,5128237568.0
4864524800.0,4613056512.0
4487970816.0,4343923200.0
4262422016.0,4167503104.0
4120684288.0,4023412224.0
4015417600.0,3937171456.0
3927857152.0,3854564352.0
3847607808.0,3781566208.0
3772997888.0,3704890368.0
3716636928.0,3671588352.0
3667484416.0,3625843712.0
3632670208.0,3638034944.0
3604029952.0,3602946560.0
3580536832.0,3536845824.0
3556055808.0,3518030336.0
3539646208.0,3508345088.0
3522933248.0,3487184128.0
3508085248.0,3473679872.0
3494009600.0,3473145600.0
3482308864.0,3454041856.0
3469040896.0,3443533568.0
3457642240.0,3438646528.0
3446283264.0,3416520448.0
3436294656.0,3418360064.0
3427618560.0,3423891968.0
3419652096.0,3425574144.0
3409778944.0,3383688448.0
3400627456.0,3387677696.0
3394038528.0,3387558144.0
3385434112.0,3409589248.0
3374488064.0,3353400064.0
3367184128.0,3366605568.0
3360534784.0,3331230720.0
3351406848.0,3328730624.0
3348513536.0,3338220288.0
3338310656.0,3340733952.0
3332906752.0,3308727296.0
3322829568.0,3309517312.0
3316199424.0,3303544576.0
3312353792.0,3296790784.0
3303396096.0,3314349824.0
3301079296.0,3298421504.0
3292286464.0,3288268800.0
3287845120.0,3296237824.0
3280686592.0,3261317120.0
3276907520.0,3281843968.0
3271412992.0,3261650432.0
3264843520.0,3248343296.0
3260307456.0,3244387584.0
