loss,val_loss
50315374592.0,6556639744.0
5613206016.0,5015248384.0
4769776128.0,4540754432.0
4441421312.0,4280873472.0
4241690112.0,4129311744.0
4115978496.0,4032029952.0
4031222528.0,3972799232.0
3954693888.0,3886854656.0
3893495296.0,3846680320.0
3845334528.0,3808971008.0
3803825408.0,3745195520.0
3763288320.0,3748610560.0
3724246784.0,3682786048.0
3687828736.0,3645151488.0
3651221248.0,3636906496.0
3616153856.0,3595924736.0
3590996736.0,3557287680.0
3563753728.0,3520662016.0
3541980160.0,3530593536.0
3525720320.0,3490671616.0
3507083776.0,3476295936.0
3492345600.0,3487153152.0
3476752128.0,3465592064.0
3464943104.0,3431488512.0
3453285120.0,3445594624.0
3440902144.0,3471059712.0
3426026496.0,3428045312.0
3411289856.0,3378074112.0
3396144640.0,3363222272.0
3381551360.0,3366515712.0
