loss,val_loss
146695831552.0,13468100608.0
10519240704.0,8649329664.0
8193042944.0,7721174528.0
7487524352.0,7205959680.0
6922004992.0,6553720320.0
6180689920.0,5801632768.0
5476941312.0,5201663488.0
5048196096.0,4886546944.0
4798962176.0,4686833664.0
4635824128.0,4558699008.0
4515085312.0,4433632768.0
4422010880.0,4359229952.0
4353938432.0,4293820928.0
4296796160.0,4257958912.0
4251243776.0,4201445376.0
4214883840.0,4177176064.0
4184757504.0,4147468288.0
4160169216.0,4120187392.0
4137460992.0,4114782976.0
4118346240.0,4100127744.0
4101231104.0,4064431616.0
4084656896.0,4054024960.0
4070859776.0,4036831488.0
4055420416.0,4026465024.0
4043516928.0,4009614592.0
4030757888.0,4000642048.0
4020263936.0,3998261504.0
4010583296.0,3976432640.0
3997639680.0,3974669824.0
3988753152.0,3960958976.0
