loss,val_loss
21166594048.0,4521026048.0
4280800512.0,4072369664.0
3949130496.0,3764813824.0
3787464960.0,3640362240.0
3665050368.0,3613845504.0
3564059648.0,3476418816.0
3489468672.0,3378688256.0
3422605568.0,3460140544.0
3359983872.0,3313640960.0
3300236544.0,3237406464.0
3243052032.0,3161374464.0
3201543424.0,3220642048.0
3167528192.0,3069997824.0
3148164608.0,3091567360.0
3116652800.0,3111535872.0
3107738624.0,3048642304.0
3081935616.0,3039500544.0
3064619264.0,3079293440.0
3059260672.0,3016369664.0
3032972288.0,3029632512.0
3024403456.0,3034243072.0
3009957376.0,2969227776.0
3001838336.0,2965200128.0
2988299776.0,3068878336.0
2979643392.0,3065719296.0
2970164224.0,2947465728.0
2953096448.0,2944834304.0
2944581376.0,2915250688.0
2933410304.0,2960333824.0
2934079488.0,2936985856.0
2921538304.0,2929636096.0
2910725120.0,2975270656.0
2912568064.0,3071334144.0
2897383168.0,2912151296.0
2891237376.0,3085405184.0
2886294272.0,2911286528.0
2865748736.0,3077599744.0
2861675776.0,2887012352.0
2859772160.0,2983876864.0
2857916672.0,2872325376.0
