loss,val_loss
57388724224.0,7083381760.0
6023064064.0,5242799616.0
4936282112.0,4624084992.0
4440903168.0,4212840448.0
4156451584.0,4001557248.0
3989174528.0,3877748992.0
3881551360.0,3797341440.0
3798806272.0,3802705152.0
3731241728.0,3664301056.0
3673050624.0,3628342784.0
3629767936.0,3564100608.0
3591348224.0,3545117184.0
3556077312.0,3504728320.0
3530010624.0,3480413440.0
3500612352.0,3472497920.0
3478084096.0,3421175552.0
3456117760.0,3406081792.0
3436536064.0,3390859008.0
3415115520.0,3367975424.0
3396717824.0,3350672640.0
