loss,val_loss
197075419136.0,17567094784.0
13246173184.0,10094725120.0
9150780416.0,8329265152.0
8085191680.0,7754548224.0
7611494912.0,7390303232.0
7237044736.0,7019011584.0
6824506368.0,6590578688.0
6375785984.0,6139113984.0
5926354432.0,5713943040.0
5541644800.0,5387458048.0
5253188608.0,5130888704.0
5044904448.0,4944071680.0
4882537984.0,4807586816.0
4750866944.0,4679788032.0
4650345984.0,4581902336.0
4568174592.0,4511089664.0
4500180992.0,4447628288.0
4443826176.0,4390891008.0
4396818944.0,4355025408.0
4356550144.0,4305517568.0
4320744448.0,4278929152.0
4288105216.0,4240616192.0
4257101056.0,4224282112.0
4229457152.0,4187018240.0
4203453952.0,4154317824.0
4174892544.0,4136261888.0
4149072128.0,4104184576.0
4123902720.0,4086263552.0
4097727488.0,4056013056.0
4073068544.0,4030703104.0
4047802624.0,4005267200.0
4024329472.0,3982618880.0
4001900800.0,3962097664.0
3981852160.0,3941575424.0
3961597184.0,3921916672.0
3942129408.0,3905200640.0
3924320256.0,3897357824.0
3908975616.0,3884145408.0
3895227904.0,3856143872.0
3881377536.0,3844007680.0
3867332352.0,3833788672.0
3855088384.0,3816012800.0
3842927360.0,3807847168.0
3831945728.0,3795308032.0
3820558592.0,3783125248.0
3810385664.0,3779831808.0
3800324352.0,3774826240.0
3791820544.0,3764305408.0
3783161856.0,3747069696.0
3775296000.0,3739644928.0
