loss,val_loss
324242079744.0,144263446528.0
49576878080.0,17438941184.0
14490428416.0,11816922112.0
10677525504.0,9522136064.0
9140130816.0,8596468736.0
8437263872.0,8141801984.0
8039711232.0,7835908096.0
7764467200.0,7610682368.0
7548488192.0,7424739328.0
7362270720.0,7253850112.0
7183868416.0,7081178112.0
6987851264.0,6865778688.0
6737583616.0,6585516544.0
6433585664.0,6271541760.0
6125129216.0,5975661056.0
5841969664.0,5709485056.0
5596996096.0,5483401216.0
5389754880.0,5292709376.0
5218028544.0,5126430720.0
5074679296.0,4996003840.0
4958818816.0,4895985152.0
4864677376.0,4812439040.0
4786150400.0,4741133824.0
4721908224.0,4672224256.0
4666590208.0,4623081984.0
4619272192.0,4575133184.0
4578872320.0,4536140800.0
4542495744.0,4500552704.0
4508146176.0,4467149824.0
4476970496.0,4441003008.0
