loss,val_loss
35672256512.0,5532379136.0
4960410112.0,4532319744.0
4383903232.0,4173587712.0
4120025600.0,3970910720.0
3963255296.0,3847028736.0
3841375232.0,3768236544.0
3752998656.0,3671488512.0
3684543744.0,3628074752.0
3625253120.0,3594046208.0
3582729216.0,3555331328.0
3554024192.0,3488491776.0
3520284928.0,3476907008.0
3491491840.0,3463955200.0
3467534336.0,3475832064.0
3441886464.0,3428192000.0
3422107392.0,3420231424.0
3400424448.0,3366113024.0
3381544192.0,3356745216.0
3362731520.0,3329536512.0
3344607488.0,3333803520.0
3328336384.0,3300367616.0
3316231424.0,3296369152.0
3297224704.0,3254846208.0
3266968832.0,3277257984.0
3246626816.0,3328947456.0
3234753280.0,3224467200.0
3218053120.0,3205825792.0
3206989824.0,3177095680.0
3192362240.0,3162754560.0
3185216000.0,3164047872.0
