precision,recall,f1-score,support
0.74,0.95,0.83,1561.0
0.94,0.71,0.81,648.0
0.73,0.82,0.77,571.0
0.99,0.98,0.99,434.0
0.95,0.9,0.93,620.0
0.99,0.94,0.96,174.0
0.97,0.88,0.92,381.0
0.77,0.88,0.82,1580.0
0.85,0.8,0.83,1334.0
0.86,0.86,0.86,401.0
0.91,0.64,0.76,149.0
0.94,0.89,0.91,932.0
0.92,0.8,0.86,2310.0
0.97,0.95,0.96,175.0
0.99,0.92,0.95,1004.0
0.86,0.92,0.89,428.0
0.97,0.88,0.92,372.0
0.78,0.85,0.82,585.0
0.86,0.86,0.86,0.86
0.9,0.87,0.88,13659.0
0.87,0.86,0.86,13659.0
