loss,val_loss
35150884864.0,5420591616.0
4893955072.0,4471093248.0
4324482560.0,4096243200.0
4050370816.0,3942417920.0
3889454848.0,3765569792.0
3769887232.0,3704539648.0
3685276928.0,3617332480.0
3619899392.0,3564459520.0
3559195648.0,3511584512.0
3511656704.0,3462761216.0
3478039040.0,3435940864.0
3439689728.0,3373572096.0
3403714304.0,3359818240.0
3376492800.0,3320873984.0
3347364096.0,3362681600.0
3319696896.0,3292928000.0
3294347776.0,3278419712.0
3273239552.0,3239329280.0
3254091008.0,3202157568.0
3234025216.0,3291208704.0
3216675328.0,3225440000.0
3200779264.0,3238560768.0
3186897664.0,3172539392.0
3171058944.0,3158167808.0
3161290496.0,3159385600.0
3147569152.0,3126377728.0
3139809280.0,3230385152.0
3129878784.0,3165231616.0
3116454400.0,3126120704.0
3107429120.0,3152833024.0
3094488064.0,3121356032.0
3089245696.0,3087193088.0
3083093504.0,3073498624.0
3067276032.0,3103668992.0
3051222528.0,3055631104.0
3035720704.0,3038643456.0
3026793472.0,3014031104.0
3013603072.0,2977863936.0
3007499776.0,3000753920.0
3001447680.0,3034029824.0
