loss,val_loss
22279766016.0,4532930048.0
4316765696.0,4078804992.0
3979986176.0,3849365504.0
3819222528.0,3671436032.0
3728636672.0,3838032896.0
3648737792.0,3614634752.0
3609061376.0,3506384896.0
3556708352.0,3443255808.0
3514197504.0,3399094016.0
3464365056.0,3377476352.0
3397011456.0,3303642368.0
3354048512.0,3250566400.0
3305695232.0,3237579264.0
3266101504.0,3216452864.0
3243212288.0,3217050112.0
3209451008.0,3159451136.0
3187988480.0,3092151552.0
3155880448.0,3082601472.0
3131793664.0,3079252224.0
3110616064.0,3027405312.0
3088376064.0,3041582592.0
3066187520.0,3118007296.0
3052065280.0,3046299904.0
3043186688.0,3090037504.0
3013876480.0,2985814528.0
2999029248.0,3002294272.0
2987869184.0,2975503616.0
2977656064.0,2998860544.0
2964386048.0,2919152128.0
2944955648.0,2941004032.0
